1,Abilene Christian,31,20,11,0.645,-2.87,-6.87,15,5,13,3,7,8,65.3,21.5,49.8,0.432,4.97,16.7,0.298,17.2,23.5,8.74,33.4,9.58,6.81,3.68,19.9,19.9,,
2,Air Force,32,12,20,0.375,-0.37,3.02,5,13,8,7,3,9,74.6,26.2,56.5,0.464,10.3,27.6,0.375,11.8,16.6,7.25,32.5,14.4,6.25,2.75,11.4,18.9,,
3,Akron,31,24,7,0.774,7.15,-0.4,14,4,15,2,8,4,66.5,24.3,60.8,0.4,6.23,20.5,0.303,11.6,17.4,11.5,36.7,10.3,6.03,2.74,13.2,19.9,,
4,Alabama A&M,30,8,22,0.267,-18.88,-8.85,5,13,6,5,2,16,71.5,25.9,56.8,0.456,6.43,19.8,0.324,13.2,20,9.17,38.2,13.3,6.6,4.37,12.7,17.7,,
5,Alabama-Birmingham,32,19,13,0.594,-0.94,-1.64,9,9,11,6,5,7,65.3,23.4,56.4,0.415,7.72,23.1,0.335,10.8,15,8.59,30.7,11,6.78,3.19,12.3,17.3,,
6,Alabama State,32,8,24,0.25,-16.15,-6.53,7,11,4,5,2,16,71,25.4,55.7,0.456,6.31,19.2,0.33,14,21.3,9.66,36.3,12.8,7.44,3.59,14.3,19.5,,
7,Alabama,31,16,15,0.516,11.12,8.12,8,10,10,5,4,8,79,27.4,64.6,0.425,7,22.4,0.312,17.2,23.2,12.3,39.8,11.9,8.48,4,14,20.3,,
8,Albany (NY),32,14,18,0.438,-8.78,-5.91,7,9,7,7,5,11,68.4,24.6,58.6,0.42,7.84,22.9,0.343,11.3,16.3,8.97,34.5,13.4,7.69,3.41,12.8,17.9,,
9,Alcorn State,30,15,15,0.5,-14.64,-9.64,11,7,11,2,4,13,73.2,26.5,59,0.449,6.67,20.2,0.33,13.5,21.1,9.87,35.3,14,7.4,2.97,13.8,17,,
10,American,30,16,14,0.533,-4.37,-6.5,12,6,10,4,6,10,69.5,24.8,55.6,0.447,5.6,17.5,0.319,14.2,20.4,9.87,34.6,11.9,5.97,3.2,13.7,15.7,,
11,Appalachian State,33,18,15,0.545,-0.81,-0.01,11,9,10,5,7,9,67.3,24.6,57.2,0.431,7.3,22.6,0.323,10.8,15,9.76,35.3,13.5,6.82,2.61,14.4,19.5,,
12,Arizona State,31,20,11,0.645,11.46,8.1,11,7,13,3,6,5,70.5,24.8,57.9,0.428,7.32,22.1,0.331,13.5,19.8,10.3,38.1,12.5,6.55,3.84,16.4,18.4,,
13,Arizona,32,21,11,0.656,19.49,8.4,10,8,13,4,4,6,65.3,22.1,56.2,0.394,6.59,21.2,0.312,14.5,19.8,9.25,33.8,11.3,4.84,3.09,14.5,19.2,,
14,Little Rock,31,21,10,0.677,2.27,-1.07,15,5,13,2,8,8,69.4,24.2,57.1,0.424,7.68,22.2,0.346,13.4,19.2,10,32.3,12.2,6.77,3.19,13.9,21,,
15,Arkansas-Pine Bluff,30,4,26,0.133,-21.65,-6.41,3,15,2,8,2,18,68.3,22.7,52.6,0.432,6.07,19.6,0.309,16.8,24.8,9.7,32.7,12.9,9.63,2.53,14.2,17.4,,
16,Arkansas State,32,16,16,0.5,-2.92,-0.72,8,12,10,7,6,9,71.9,24.6,53.9,0.456,6.5,18.9,0.344,16.2,22.4,9.38,33.8,13.7,6.03,2.09,14,20.9,,
17,Arkansas,32,20,12,0.625,13.46,7.27,7,11,14,4,4,8,69.6,24.2,56.5,0.428,5.13,18.8,0.272,16.2,23.1,11,38.3,10.1,5,2.97,16,21.5,,
18,Army,30,15,15,0.5,-9.1,-6.68,10,8,9,6,6,9,72,26.7,60.7,0.44,8.9,25.3,0.352,9.73,14.5,9.03,35.8,13.7,6.3,3.37,11.9,14.7,,
19,Auburn,31,25,6,0.806,15.04,7.39,12,6,16,1,5,5,70.4,24.5,59.4,0.413,7,21.5,0.325,14.4,20.1,10.3,35.2,11.2,6.68,3.13,13.5,21.2,,
20,Austin Peay,33,21,12,0.636,-0.98,-4.14,14,4,14,0,5,10,71.5,26.1,55.8,0.468,6.85,19,0.361,12.5,18,9.18,33.1,13.6,6.09,2.42,14.9,19.5,,
21,Ball State,31,18,13,0.581,4.12,-1.65,11,7,11,4,5,7,62.5,22.8,57,0.401,5.87,19.1,0.307,11,16,8.87,34.7,9.84,6.35,2.65,13.6,16.4,,
22,Baylor,30,26,4,0.867,20.13,9.13,15,3,14,1,8,2,60.1,21.4,53.9,0.397,5.87,18.9,0.311,11.4,16.6,10.2,33.4,11.3,5.8,4.87,15.2,18.3,,
23,Belmont,33,26,7,0.788,4.3,-6.23,15,3,13,1,11,5,67.9,25.6,61.6,0.416,7.03,21.3,0.33,9.61,15,10.2,36.7,12.1,5.79,2.94,14.3,14.5,,
24,Bethune-Cookman,30,16,14,0.533,-10.16,-8.98,10,6,10,1,4,13,72.2,25.6,60.4,0.424,5.77,20.9,0.276,15.3,23.4,11.6,38.4,12.8,7.17,3.03,15.7,19.4,,
25,Binghamton,29,10,19,0.345,-15.03,-4.62,4,12,7,7,3,12,76.6,28.4,62.4,0.455,8,23.9,0.335,11.8,18.1,11.4,39.2,14.5,6.31,2.86,9.9,14.8,,
26,Boise State,32,20,12,0.625,8.59,4.39,11,7,13,2,4,8,69.5,25.4,56.8,0.447,6.63,22.2,0.299,12,16.7,7.34,32.8,11.4,6,2.31,13.8,20,,
27,Boston College,32,13,19,0.406,1.82,7.86,7,13,8,10,4,8,70.6,25.6,57.7,0.443,7.16,21.4,0.334,12.3,17.3,10.5,38.1,13.4,6.81,3.19,14.5,16.8,,
28,Boston University,34,21,13,0.618,-1.87,-5.3,12,6,12,3,9,8,66.7,25,57.2,0.437,6.62,20.3,0.326,10.1,15.1,8.47,33.2,11.4,6.44,2.71,11.6,16,,
29,Bowling Green State,31,21,10,0.677,0.47,0.2,12,6,13,2,5,5,72.9,25.7,61.2,0.42,7.71,23.4,0.329,13.7,20,10.1,38.2,10.3,5.71,3.1,11.8,17.1,,
30,Bradley,34,23,11,0.676,5.33,0.33,11,7,15,2,4,8,65.9,22.5,57,0.395,7.79,24.7,0.316,13.1,17.4,9.35,33.5,11.8,5.76,2.91,12.1,17.4,,
31,Brigham Young,32,24,8,0.75,16.93,6.45,13,3,14,1,6,5,68.4,25.6,58.4,0.438,6.03,19.6,0.308,11.2,16.1,8.31,33.6,11.9,6.25,2.41,12.9,15.8,,
32,Brown,27,15,12,0.556,-4.45,-1.72,8,6,10,4,5,8,68.7,24.9,57.8,0.43,6.93,21,0.329,12,16.7,9.33,35.1,12,7.81,4.07,14,19.4,,
33,Bryant,32,15,17,0.469,-6.7,-6.67,7,11,9,5,6,12,69.5,25.1,60.7,0.413,6.84,22.1,0.31,12.4,18.3,10.9,37.2,12.6,6.56,3.44,12.1,16.8,,
34,Bucknell,34,14,20,0.412,-7.73,-4.32,8,10,9,4,4,14,71,25.3,54.9,0.461,5.91,18.2,0.324,14.5,21,8.62,35.2,12.5,6.88,3.15,13.9,16.1,,
35,Buffalo,32,20,12,0.625,1.8,0.06,11,7,10,7,7,4,75.8,27.5,63.2,0.435,6.84,21.7,0.316,13.9,19,11.1,38,12.9,6.69,3.78,14.5,17.8,,
36,Butler,31,22,9,0.71,15.56,9.14,10,8,14,3,5,6,62.1,21.6,54.6,0.395,6.84,20.7,0.33,12.1,16.9,8.77,30.5,11.3,5.61,3.1,11.6,16.5,,
37,Cal Poly,30,7,23,0.233,-10,-0.42,4,12,7,6,0,15,74.9,25.2,55.6,0.453,7.4,19.9,0.371,17.1,23.7,9.63,36.8,13.8,6.5,3.17,13.4,18.3,,
38,Cal State Bakersfield,31,12,19,0.387,-7.11,-3.26,6,10,9,7,3,12,67.6,21.5,50.5,0.426,7.45,20.6,0.361,17.2,23.9,8.13,30.9,11.3,5.13,2.84,13.4,17.1,,
39,Cal State Fullerton,31,11,20,0.355,-6.79,-1.38,6,10,6,8,4,11,71.4,25.3,57.4,0.44,6.19,18.5,0.334,14.7,20.2,9,36.4,12.3,6.1,3.29,13,19,,
40,Cal State Northridge,32,15,17,0.469,-6.37,-0.97,10,6,10,4,5,12,79,28.4,61.3,0.463,9.53,24.9,0.383,12.7,17.8,11,37.2,15.3,5.06,3.16,12.7,18.2,,
41,California Baptist,31,21,10,0.677,-1.99,-6.66,10,6,15,5,6,5,70,25.6,61.3,0.418,6.1,20.2,0.302,12.7,18.6,9.55,33.8,12.4,6.1,3.39,10.8,19.5,,
42,UC-Davis,32,14,18,0.438,-4.7,-2.63,8,8,8,4,5,12,71.4,25.3,54.8,0.461,7.19,21.1,0.34,13.8,19.1,8.88,32.8,14.7,6.13,2.81,13.9,17.6,,
43,UC-Irvine,32,21,11,0.656,3.73,-2.18,13,3,11,2,8,8,65.2,22.1,57.1,0.388,6.91,19.7,0.35,14.1,20,9.19,30.2,10.7,5.47,2.66,11.7,16.3,,
44,UC-Riverside,32,17,15,0.531,-3.63,-4.18,7,9,11,5,6,10,60.6,21.6,53.5,0.404,6.19,17.6,0.352,11.2,16.3,7.28,30.3,10.7,5.56,2.66,10.8,15.7,,
45,UC-Santa Barbara,31,21,10,0.677,-0.57,-4.06,10,6,13,3,8,7,66.3,24.2,54,0.449,6.71,19.3,0.348,11.1,15.6,7.97,29.6,11.5,4.55,2.45,12.1,19,,
46,University of California,32,14,18,0.438,3.2,9.05,7,11,12,5,1,10,69.1,23.4,54.4,0.43,7.5,20.7,0.363,14.8,20.1,8.72,33.2,12.1,4.91,3.59,11.5,17.8,,
47,Campbell,31,15,16,0.484,-8.51,-8.1,6,12,8,5,6,10,66.6,23.3,52.9,0.44,5.48,17.8,0.309,14.5,20.7,9.16,33.7,10.1,6.45,2.1,13.8,14.9,,
48,Canisius,32,12,20,0.375,-7.6,-5.44,7,13,7,6,4,12,70.8,25,55.1,0.455,6.88,19.8,0.348,13.8,19.6,9.66,34.9,11.8,6.75,2.81,15.3,17.7,,
49,Central Arkansas,31,10,21,0.323,-11.26,-2.7,9,11,8,4,2,16,82.4,28.8,64.2,0.448,8.87,23.9,0.372,15.9,22.3,11,37.8,15.5,9.39,3.19,13.9,21.2,,
50,Central Connecticut State,31,4,27,0.129,-20.33,-4.63,3,15,4,9,0,16,77.3,27.5,59.8,0.46,8.71,23.7,0.368,13.6,19.6,11.5,39.4,15.3,7.29,4.23,13,16.2,,
51,Central Florida,30,16,14,0.533,5.13,4.13,7,11,10,6,4,7,67.9,24.2,57.7,0.42,6.73,21.2,0.317,12.7,17,10.8,35.6,14.1,6.83,2.57,14.3,17.9,,
52,Central Michigan,32,14,18,0.438,-3.4,-0.26,7,11,12,4,2,14,76.7,27.9,60.3,0.462,9,23.8,0.378,11.9,16.7,9.63,37.8,14.1,6.38,3.41,16.5,19.3,,
